2Dscore,3Dscore,active
0.04,0.997,0
0.375,0.995,0
0.228571429,0.995,0
0.375,0.991,0
0.625,0.99,1
0.625,0.99,0
0.454545455,0.99,1
0.454545455,0.99,0
0.379310345,0.99,1
0.379310345,0.99,0
0.071428571,0.988,0
0.463414634,0.987,0
0.463414634,0.987,0
0.24,0.987,1
0.24,0.987,0
0.428571429,0.985,0
0.419354839,0.985,1
0.419354839,0.985,0
0.204545455,0.985,0
0.204545455,0.985,0
0.2,0.985,0
0.04,0.985,0
0.565217391,0.981,1
0.565217391,0.981,0
0.228571429,0.981,0
0.5,0.98,0
0.5,0.98,0
0.24,0.979,0
0.24,0.979,0
0.104166667,0.979,0
0.428571429,0.977,0
0.333333333,0.976,0
0.333333333,0.976,0
0.02,0.974,0
0.02,0.974,0
0.419354839,0.973,1
0.419354839,0.973,0
0.176470588,0.973,0
0.285714286,0.97,1
0.379310345,0.968,0
0.379310345,0.968,0
0.233333333,0.967,0
0.019230769,0.966,0
0.019230769,0.966,0
0.257575758,0.965,0
0.224489796,0.965,0
0.142857143,0.963,0
0.142857143,0.963,0
0.288135593,0.961,0
0.285714286,0.96,0
0.176470588,0.96,0
0.04,0.96,0
0.04,0.96,0
0.545454545,0.959,1
0.545454545,0.959,0
0.224489796,0.959,1
0.04,0.959,0
0.257142857,0.958,0
0.257142857,0.958,1
0.257142857,0.958,0
0.176470588,0.958,0
0.176470588,0.958,0
0.176470588,0.958,0
0.169811321,0.957,0
0.041666667,0.956,0
0.176470588,0.955,0
0.2,0.954,0
0.068181818,0.954,0
0.257142857,0.953,0
0.257142857,0.953,0
0.176470588,0.953,0
0.322580645,0.95,0
0.322580645,0.95,0
0.222222222,0.949,0
0.222222222,0.949,0
0.104166667,0.948,0
0.714285714,0.946,1
0.243902439,0.946,0
0.214285714,0.945,0
0.214285714,0.945,0
0.071428571,0.945,0
0.041666667,0.945,0
0.02,0.945,0
0.428571429,0.944,0
0.428571429,0.944,0
0.2,0.944,1
0.2,0.944,1
0.04,0.944,0
0.243902439,0.943,0
0.243902439,0.943,0
0.153846154,0.943,0
0.153846154,0.943,0
0.236842105,0.941,0
0.236842105,0.941,0
0.204545455,0.941,0
0.235294118,0.94,0
0.089285714,0.94,0
0.089285714,0.94,0
0.31372549,0.939,0
0.118644068,0.939,0
0.106382979,0.939,0
0.106382979,0.939,0
0.279069767,0.938,0
0.261904762,0.937,0
0.261904762,0.937,0
0.25,0.937,0
0.025641026,0.937,0
0.41025641,0.936,0
0.2,0.936,0
0.2,0.936,0
0.193181818,0.936,1
0.193181818,0.936,0
0.104166667,0.936,0
0.204545455,0.935,0
0.090909091,0.935,0
0.052631579,0.935,0
0.16,0.934,0
0.487179487,0.933,1
0.487179487,0.933,0
0.142857143,0.933,0
0.104166667,0.933,0
0.090909091,0.933,0
0.041666667,0.933,0
0.024390244,0.933,0
0.45,0.932,0
0.333333333,0.931,0
0.075,0.931,0
0.176470588,0.93,0
0.102564103,0.93,0
0.379310345,0.929,0
0.379310345,0.929,0
0.35483871,0.929,0
0.14893617,0.929,0
0.041666667,0.929,0
0.257142857,0.928,1
0.209302326,0.928,0
0.170212766,0.928,0
0.108108108,0.927,0
0.288888889,0.926,0
0.25,0.926,0
0.184210526,0.926,0
0.078125,0.926,0
0.279069767,0.924,0
0.233333333,0.924,0
0.118644068,0.924,1
0.041666667,0.924,0
0.041666667,0.924,0
0.357142857,0.923,1
0.357142857,0.923,0
0.454545455,0.922,1
0.454545455,0.922,0
0.16,0.922,0
0.081081081,0.922,0
0.034482759,0.922,0
0.371428571,0.921,0
0.371428571,0.921,0
0.142857143,0.921,0
0.074074074,0.921,0
0.074074074,0.921,0
0.405405405,0.92,0
0.384615385,0.92,0
0.307692308,0.92,1
0.2,0.92,1
0.2,0.92,1
0.125,0.92,0
0.125,0.92,0
0.034482759,0.92,0
0.307692308,0.919,0
0.257575758,0.919,0
0.189655172,0.919,0
0.279069767,0.918,0
0.161290323,0.918,0
0.023255814,0.918,0
0.023255814,0.918,0
0.02,0.918,0
0.333333333,0.917,0
0.333333333,0.917,0
0.018867925,0.917,0
0.581395349,0.916,0
0.466666667,0.916,0
0.375,0.916,1
0.375,0.916,0
0.2,0.916,0
0.2,0.916,0
0.1,0.915,0
