2Dscore,3Dscore,active,
0.0285714285714,0.406,0,
0.030303030303,0.247,0,
0.0625,0.414,0,
0.146341463415,0.529,0,
0.030303030303,0.268,0,
0.030303030303,0.334,0,
0.170731707317,0.709,1,
0.0285714285714,0.395,0,
0.181818181818,0.809,0,
0.170731707317,0.72,0,
0.02,0.822,0,
0.136363636364,0.819,0,
0.184210526316,0.494,1,
0.166666666667,0.35,0,
0.0769230769231,0.754,0,
0.08,0.761,0,
0.166666666667,0.31,1,
0.166666666667,0.353,0,
0.037037037037,0.445,0,
0.454545454545,0.533,0,
0.0666666666667,0.502,0,
0.037037037037,0.469,0,
0.0689655172414,0.494,0,
0.0344827586207,0.415,0,
0.0416666666667,0.601,0,
0.0909090909091,0.536,0,
0.0869565217391,0.467,0,
0.2,0.92,1,
0.2,0.516,1,
0.04,0.348,0,
0.0769230769231,0.566,0,
0.0344827586207,0.305,0,
0.04,0.343,0,
0.0740740740741,0.3,0,
0.037037037037,0.281,0,
0.0454545454545,0.499,0,
0.0416666666667,0.782,0,
0.0909090909091,0.5,0,
0.333333333333,0.484,0,
0.04,0.534,0,
0.0769230769231,0.607,0,
0.0344827586207,0.511,0,
0.04,0.498,0,
0.0357142857143,0.503,0,
0.037037037037,0.47,0,
0.0454545454545,0.801,0,
0.0869565217391,0.508,0,
0.0869565217391,0.631,0,
0.147058823529,0.746,0,
0.0384615384615,0.734,0,
0.131578947368,0.653,0,
0.147058823529,0.734,0,
0.05,0.642,0,
0.138888888889,0.601,0,
0.0909090909091,0.933,0,
0.2,0.522,1,
0.04,0.378,0,
0.0769230769231,0.534,0,
0.0344827586207,0.332,0,
0.04,0.373,0,
0.0740740740741,0.326,0,
0.037037037037,0.305,0,
0.0454545454545,0.543,0,
0.04,0.47,0,
0.0769230769231,0.385,0,
0.0344827586207,0.412,0,
0.04,0.463,0,
0.0740740740741,0.405,0,
0.037037037037,0.379,0,
0.0454545454545,0.674,0,
0.037037037037,0.557,0,
0.157894736842,0.777,0,
0.428571428571,0.985,0,
0.0238095238095,0.697,0,
0.272727272727,0.764,0,
0.233333333333,0.697,1,
0.103448275862,0.488,0,
0.037037037037,0.549,0,
0.0333333333333,0.48,0,
0.0344827586207,0.449,0,
0.0416666666667,0.799,0,
0.157894736842,0.812,0,
0.0217391304348,0.814,0,
0.15,0.767,0,
0.205882352941,0.611,0,
0.0238095238095,0.725,0,
0.354838709677,0.768,0,
0.233333333333,0.687,0,
0.046511627907,0.73,0,
0.025641025641,0.601,0,
0.114285714286,0.562,0,
0.114285714286,0.677,0,
0.323529411765,0.821,0,
0.21875,0.775,0,
0.236842105263,0.774,0,
0.03125,0.66,0,
0.037037037037,0.527,0,
0.146341463415,0.786,1,
0.0925925925926,0.637,0,
0.0192307692308,0.588,1,
0.0625,0.841,1,
0.0625,0.852,1,
0.125,0.728,0,
0.0909090909091,0.575,0,
0.257142857143,0.699,0,
0.155555555556,0.698,0,
0.128205128205,0.556,0,
0.151515151515,0.739,1,
0.15,0.524,0,
0.0869565217391,0.455,0,
0.0322580645161,0.704,0,
0.0384615384615,0.778,0,
0.121951219512,0.532,0,
0.288888888889,0.432,0,
0.0612244897959,0.463,0,
0.136363636364,0.569,0,
0.111111111111,0.577,0,
0.104166666667,0.493,1,
0.0727272727273,0.389,1,
0.102564102564,0.573,0,
0.0625,0.473,1,
0.189189189189,0.753,0,
0.405405405405,0.893,1,
0.0333333333333,0.253,0,
0.027027027027,0.495,0,
0.03125,0.433,0,
0.181818181818,0.751,0,
0.103448275862,0.776,0,
0.0357142857143,0.742,0,
0.0980392156863,0.863,0,
0.0769230769231,0.84,0,
0.134615384615,0.758,0,
0.120689655172,0.665,0,
0.289473684211,0.716,0,
0.117647058824,0.85,0,
0.179487179487,0.659,0,
0.0869565217391,0.336,0,
0.0322580645161,0.626,0,
0.0384615384615,0.575,0,
